Stocks ,Acquisition,Selling price ,sales,data,gender
CDO mear loaf 100f s(1 box),925,24,0,18-24,
CDO bingo corned beef 150g(pack of 6),240,28,0,18-24,
CDO sanmarino (packs of 6),320,28,0,18-24,
CDO karne norte classic 150(packs of 5),350,24,0,18-24,
CDO 21G big meat loaf classic flavor ,672,19,0,18-24,
CDO idol jumo cheesedog 1kg,602,10,60,18-24,0
CDO karne norte 260g  (42 cans),2136,18,0,18-24,
WOW ulam lechon paksiw (48 cans),1152,24,0,18-24,
canned 555 sardines in tomato sauce 155g (48 cans),1850,18,0,18-24,
canned 555 sardines sauce with chili 155g (100 cans),1850,18,90,18-24,1
Canned sausage (CDO 70g),550,24,0,18-24,
Loaf bread,109,24,0,18-24,
Canned tuna(century 180g),370,37,0,18-24,
Canned pineapple (Dole 822g) (3 cans),238,118,0,18-24,
Eggs (6 treys) (144 pcs),1152,9,126,18-24,0
Instant coffe (Kopiko 10X27.5g) (25 pcs),200,8,104,18-24,1
Rice (50 likos),2250,45,0,18-24,
Powdered Drinks (Tang) (144 pcs),2400,18,0,18-24,
ovaltine powdered choco malt 840 grams ,327,140,0,18-24,
tang orange powdered juice (144 pcs),2400,18,162,18-24,0
tang powered juice apple litro 20g (144 pcs),2400,18,0,18-24,
bear brand adult plus 1.2 kg ,520,530,0,18-24,
Soy sauce(silvver swan 350g) (16  pcs),191,17,0,18-24,
Vinegar (silver swan 359g) (16 pcs),249,15,0,18-24,
Sugar (3 kilos),355,55,330,18-24,1
Salt (3 kilos),500,21.5,0,18-24,
pepper (2 kilos),300,1.5,0,18-24,
Garlic (3 bags),480,10,120,18-24,1
Ketchup (UFC 320g),240,24,0,18-24,
ufc banana ketchup (1pc),120,12,0,18-24,
ufc bananaketchup 1kg,244,252,0,18-24,
Sinigang Mix (Maggi 25g) (10pcs),110,11,0,18-24,
maggi magic sarap (8g x 28) (packs),169,4,0,18-24,
oyster source 300 (10 pcs),700,70.45,0,18-24,
Gatorade sport drinks blue bolt (24 pcs),716,30,0,18-24,
gatorade sport drinks lemon lime 500ml (10 pcs),300,30,0,18-24,
gatorade grape 1.5L(10 pcs),300,30,0,18-24,
"gatorade tropical fruit 500,l(6 pcs)",300,30,0,18-24,
Milo (24g)(1packs),110,9,0,18-24,
Cooking oil (4L),330,335,0,18-24,
Fish sauce (Datu Puti 350 ML),364,24.5,0,18-24,
datu puti soy souce 1 gallon ,516,172,0,18-24,
datu puti vinegar (14 pcs),188,12,0,18-24,
datu puti oysterrific oyster sauce (36 x 30g) (14 pcs),299,13,0,18-24,
datu puti 10pcs patis 150 g,1590,159,0,18-24,
Evaporated milk (alaska 370ml) (10 pcs),290,29,0,18-24,
